RecordID,Code,Category,Description,Size,TotalInventory,Price,SalePrice,SaleEndDate,SnapshotDate,Availability,PricingTier
0,171911,STRAIGHT BOURBON WHISKEY,STONESTREET FOUNDERS EDITION BOURBON 750ML,750ML,0,66.99,,,46013,OutofStock,Premium ($50-$100)
1,246354,AMERICAN WHITE,DECOY FEATHERWEIGHT CHARDONNAY 750ML,750ML,0,19.99,,,46013,OutofStock,Budget (<$20)
2,72281,STRAIGHT RYE WHISKEY,ROSSVILLE UNION STRAIGHT RYE WHISKEY BARREL PROOF - 750ML,750ML,0,49.99,,,46013,OutofStock,Mid-Range ($20-$50)
3,171080,ITALIAN WHITE WINE,VILLARINI GRILLO 750ML,750ML,0,17.99,,,46013,OutofStock,Budget (<$20)
4,171381,TEQUILA,SIEMBRA ALTENO TEQUILA BLANCO 750ML,750ML,0,87.99,,,46013,OutofStock,Premium ($50-$100)
5,92377,TEQUILA FLAVORS,BLUE STAR BLANCO TEQUILA 750ML,750ML,0,34.99,,,46013,OutofStock,Mid-Range ($20-$50)
6,337217,AMERICAN RED,BELLE GLOSS LAS ALTURAS P/NOIR - 750ML,750ML,0,54.99,,,46013,OutofStock,Premium ($50-$100)
7,246443,TEQUILA,TEQUILA RIMARI BLANCO 750ML,750ML,0,46.99,,,46013,OutofStock,Mid-Range ($20-$50)
8,169796,DOMESTIC VODKA FLAVORS,WHIPSHOTS LIME INFUSED WHIPPED CREAM VODKA 200ML,200ML,0,13.99,,,46013,OutofStock,Budget (<$20)
9,92375,TEQUILA FLAVORS,BLUE STAR ANEJO TEQUILA 750ML,750ML,0,43.99,,,46013,OutofStock,Mid-Range ($20-$50)
10,91436,TEQUILA,MILAGRO ANEJO TEQUILA 375ML,375ML,0,21.99,,,46013,OutofStock,Mid-Range ($20-$50)
11,247293,SESSION RTD,BETTY BOOZE SPARK BOURBON W/ APPLE GINGER SOUR CHERRY 6/4PK - 355ML CN (4-Pack),4pk,0,12.99,,,46013,OutofStock,Budget (<$20)
