RecordID,Code,Category,Description,Size,TotalInventory,Price,SalePrice,SaleEndDate,SnapshotDate,Availability,PricingTier
0,88439,NEW ZEALAND,WHITEHAVEN MARLBOUROUGH S/BLC - 375ML,375ML,72,12.99,,,46056,InStock,Budget (<$20)
1,23193,IMPORTED BOTTLE BEER,GUINNESS STOUT 2/12 - NR - 12.0Z (12-Pack),12pk,40488,22.99,,,46056,InStock,Mid-Range ($20-$50)
2,335356,ITALIAN WHITE WINE,90+ CELLARS LOT 50 PROSECCO - 750ML,750ML,600,11.99,,,46056,InStock,Budget (<$20)
3,93211,DOMESTIC CAN BEER,SIERRA NEVADA CELEBRATION 4/6 CAN - 12.0Z (6-Pack),6pk,0,10.99,,,46056,OutofStock,Budget (<$20)
4,345253,ARGENTINA,CATENA LUNLUNTA MALB - 750ML,750ML,0,27.99,,,46056,OutofStock,Mid-Range ($20-$50)
5,302971,AMERICAN WHITE,WM HILL NC CHARD - 750ML,750ML,84,12.99,,,46056,InStock,Budget (<$20)
6,70079,SESSION RTD,HIGH NOON SUN SIPS LIME  - RTD 6/4PK - 355ML (4-Pack),4pk,3840,10.99,,,46056,InStock,Budget (<$20)
7,247293,SESSION RTD,BETTY BOOZE SPARK BOURBON W/ APPLE GINGER SOUR CHERRY 6/4PK - 355ML CN (4-Pack),4pk,0,12.99,,,46056,OutofStock,Budget (<$20)
8,169796,DOMESTIC VODKA FLAVORS,WHIPSHOTS LIME INFUSED WHIPPED CREAM VODKA 200ML,200ML,0,13.99,,,46056,OutofStock,Budget (<$20)
9,189715,SPARKLING,BARON HERZOG CAL CHAMP - 750ML,750ML,0,12.99,,,46056,OutofStock,Budget (<$20)
10,240852,ITALIAN WHITE WINE,IL CASATO P/GRIG VALDADIGE - 750ML,750ML,168,16.99,,,46056,InStock,Budget (<$20)
11,81057,AMERICAN RED,PETER VELLA MOSCATO SANGRIA - 5L,5L,84,18.99,,,46056,InStock,Budget (<$20)
12,247987,SPARKLING,CASTELLO DEL POGGIO PROSECCO - 750ML,750ML,0,12.99,,,46056,OutofStock,Budget (<$20)
