RecordID,Code,Category,Description,Size,TotalInventory,Price,SalePrice,SaleEndDate,SnapshotDate,Availability,PricingTier
0,93211,DOMESTIC CAN BEER,SIERRA NEVADA CELEBRATION 4/6 CAN - 12.0Z (6-Pack),6pk,0,10.99,,,46054,OutofStock,Budget (<$20)
1,345253,ARGENTINA,CATENA LUNLUNTA MALB - 750ML,750ML,0,27.99,,,46054,OutofStock,Mid-Range ($20-$50)
2,302971,AMERICAN WHITE,WM HILL NC CHARD - 750ML,750ML,84,12.99,,,46054,InStock,Budget (<$20)
3,22012,IMPORTED VODKA,GREY GOOSE VODKA - 750ML,750ML,4068,28.99,,,46054,InStock,Mid-Range ($20-$50)
4,247293,SESSION RTD,BETTY BOOZE SPARK BOURBON W/ APPLE GINGER SOUR CHERRY 6/4PK - 355ML CN (4-Pack),4pk,0,12.99,,,46054,OutofStock,Budget (<$20)
5,169796,DOMESTIC VODKA FLAVORS,WHIPSHOTS LIME INFUSED WHIPPED CREAM VODKA 200ML,200ML,0,13.99,,,46054,OutofStock,Budget (<$20)
6,189715,SPARKLING,BARON HERZOG CAL CHAMP - 750ML,750ML,0,12.99,,,46054,OutofStock,Budget (<$20)
7,240852,ITALIAN WHITE WINE,IL CASATO P/GRIG VALDADIGE - 750ML,750ML,168,16.99,,,46054,InStock,Budget (<$20)
8,81057,AMERICAN RED,PETER VELLA MOSCATO SANGRIA - 5L,5L,84,18.99,,,46054,InStock,Budget (<$20)
9,247987,SPARKLING,CASTELLO DEL POGGIO PROSECCO - 750ML,750ML,0,12.99,,,46054,OutofStock,Budget (<$20)
10,89071,BLENDED WHISKEY,FIREBALL WINDOW BOX CINNAMON WHISKY 4/12PK - 100ML (12-Pack),12pk,0,21.99,,,46054,OutofStock,Mid-Range ($20-$50)
11,247291,SESSION RTD,BETTY BOOZE SPARK TEQUILA VARIETY PK 4/6PK - 355ML CN (6-Pack),6pk,0,19.99,,,46054,OutofStock,Budget (<$20)
12,108995,AMERICAN WHITE,JUSTIN CHARDONNAY CENTRAL COAST - 750ML,750ML,0,19.99,,,46054,OutofStock,Budget (<$20)
13,239580,WINE-BASED COOLERS,BUZZBALLZ CHILLERS CRAN BLASTER 24/CS - 187ML,187ML,0,3.99,,,46054,OutofStock,Budget (<$20)
14,20116,MEAD (WINE),CLEAR SKIES GUAVA MAMA 6/4 12OZ CANS - 12.0Z (4-Pack),4pk,0,16.99,,,46054,OutofStock,Budget (<$20)
15,171080,ITALIAN WHITE WINE,VILLARINI GRILLO 750ML,750ML,0,17.99,,,46054,OutofStock,Budget (<$20)
16,171700,SESSION RTD,SEACRETS PEACH VODKA & SODA RTD 6/4PK 12OZ CAN - 12.0Z (4-Pack),4pk,0,17.99,,,46054,OutofStock,Budget (<$20)
17,54150,STRAIGHT BOURBON WHISKEY,YELLOWSTONE BOURBON - 4/3PK BTL GIFT PACK - 375ML (3-Pack),3pk,0,49.99,,,46054,OutofStock,Mid-Range ($20-$50)
18,289610,TEQUILA,LUNAZUL TEQUILA - BLANCO - 1L,1L,0,26.99,,,46054,OutofStock,Mid-Range ($20-$50)
19,54101,SOUR MASH WHISKEY,JACK DANIELS BLACKBERRY WHISKEY  - 750ML,750ML,1644,25.99,,,46054,InStock,Mid-Range ($20-$50)
20,166872,AMERICAN RED,BELLE GLOS PINOT NOIR DAIRYMAN VINEYARD 750ML,750ML,0,54.99,,,46054,OutofStock,Premium ($50-$100)
21,84906,AMERICAN RED,BAREFOOT CEL RED MOSCATO - 187ML,187ML,1392,1.99,,,46054,InStock,Budget (<$20)
22,91440,TEQUILA,MILAGRO SILVER TEQUILA 375ML,375ML,0,14.99,,,46054,OutofStock,Budget (<$20)
