RecordID,Code,Category,Description,Size,Total Inventory,Price,Sale Price,Sale End Date,SnapshotDate
0,24953,AMERICAN RED,GROTH CABERNET 750ML,750ML,0,82.99,,,12/16/2025
1,171911,STRAIGHT BOURBON WHISKEY,STONESTREET FOUNDERS EDITION BOURBON 750ML,750ML,0,66.99,,,12/16/2025
2,246354,AMERICAN WHITE,DECOY FEATHERWEIGHT CHARDONNAY 750ML,750ML,0,19.99,,,12/16/2025
3,72281,STRAIGHT RYE WHISKEY,ROSSVILLE UNION STRAIGHT RYE WHISKEY BARREL PROOF - 750ML,750ML,0,49.99,,,12/16/2025
4,171080,ITALIAN WHITE WINE,VILLARINI GRILLO 750ML,750ML,0,17.99,,,12/16/2025
5,171381,TEQUILA,SIEMBRA ALTENO TEQUILA BLANCO 750ML,750ML,0,87.99,,,12/16/2025
6,92377,TEQUILA FLAVORS,BLUE STAR BLANCO TEQUILA 750ML,750ML,0,34.99,,,12/16/2025
7,337217,AMERICAN RED,BELLE GLOSS LAS ALTURAS P/NOIR - 750ML,750ML,0,54.99,,,12/16/2025
8,246443,TEQUILA,TEQUILA RIMARI BLANCO 750ML,750ML,0,46.99,,,12/16/2025
9,169796,DOMESTIC VODKA FLAVORS,WHIPSHOTS LIME INFUSED WHIPPED CREAM VODKA 200ML,200ML,0,13.99,,,12/16/2025
10,92375,TEQUILA FLAVORS,BLUE STAR ANEJO TEQUILA 750ML,750ML,0,43.99,,,12/16/2025
11,91436,TEQUILA,MILAGRO ANEJO TEQUILA 375ML,375ML,0,21.99,,,12/16/2025
12,247293,SESSION RTD,BETTY BOOZE SPARK BOURBON W/ APPLE GINGER SOUR CHERRY 6/4PK - 355ML CN (4-Pack),4pk,0,12.99,,,12/16/2025
13,247987,SPARKLING,CASTELLO DEL POGGIO PROSECCO - 750ML,750ML,0,12.99,,,12/16/2025
14,345253,ARGENTINA,CATENA LUNLUNTA MALB - 750ML,750ML,0,27.99,,,12/16/2025
15,90937,TEQUILA,MAESTRO DOBEL DIAMANTE TEQUILA BARREL F1 750ML,750ML,0,47.99,,,12/16/2025
16,108995,AMERICAN WHITE,JUSTIN CHARDONNAY CENTRAL COAST - 750ML,750ML,0,19.99,,,12/16/2025
17,574535,AMERICAN RED,JUSTIN RESERVE CAB SAUV - 750ML,750ML,0,62.99,,,12/16/2025
18,246444,TEQUILA,TEQUILA RIMARI REPOSADO 750ML,750ML,0,56.99,,,12/16/2025
19,246727,STRAIGHT BOURBON WHISKEY,FILIBUSTER CHARRED BARREL AGNI 750ML,750ML,0,72.99,,,12/16/2025
20,166872,AMERICAN RED,BELLE GLOS PINOT NOIR DAIRYMAN VINEYARD 750ML,750ML,0,54.99,,,12/16/2025
21,234798,AMERICAN RED,LA JOTA VYD HOWELL MTN CAB/FR - 750ML,750ML,0,193.99,,,12/16/2025
22,89071,BLENDED WHISKEY,FIREBALL WINDOW BOX CINNAMON WHISKY 4/12PK - 100ML (12-Pack),12pk,0,21.99,,,12/16/2025
23,189715,SPARKLING,BARON HERZOG CAL CHAMP - 750ML,750ML,0,12.99,,,12/16/2025
24,171700,SESSION RTD,SEACRETS PEACH VODKA & SODA RTD 6/4PK 12OZ CAN - 12.0Z (4-Pack),4pk,0,17.99,,,12/16/2025
25,69456,IRISH WHISKEY,THE SEXTON IRISH WHISKEY 750ML,750ML,0,33.99,,,12/16/2025
26,240820,CHILE,MIGUEL TORRES CORDILLERA DE LOS ANDES CARMN RESA ESP - 750ML,750ML,0,25.99,,,12/16/2025
27,37265,STRAIGHT BOURBON WHISKEY,WOODFORD RESERVE 90.4P - 750ML,750ML,0,32.99,,,12/16/2025
28,246729,STRAIGHT BOURBON WHISKEY,FILIBUSTER CHARRED BARREL PERSIAN GOLD 750ML,750ML,0,72.99,,,12/16/2025
29,91440,TEQUILA,MILAGRO SILVER TEQUILA 375ML,375ML,0,14.99,,,12/16/2025
30,43070,AMERICAN RED,FIRESTEED W/V P/NOIR - 750ML,750ML,0,24.99,,,12/16/2025
31,312776,ITALIAN WHITE WINE,ZONIN P/GRIG - 750ML,750ML,0,8.99,,,12/16/2025
32,20116,MEAD (WINE),CLEAR SKIES GUAVA MAMA 6/4 12OZ CANS - 12.0Z (4-Pack),4pk,0,16.99,,,12/16/2025
33,54121,IRISH WHISKEY,McCONNELL'S IRISH WHISKEY- SHERRY CASK - 750ML,750ML,0,38.99,,,12/16/2025
34,246728,STRAIGHT BOURBON WHISKEY,FILIBUSTER CHARRED BARREL KYOTO MIST 750ML,750ML,0,72.99,,,12/16/2025
35,247291,SESSION RTD,BETTY BOOZE SPARK TEQUILA VARIETY PK 4/6PK - 355ML CN (6-Pack),6pk,0,19.99,,,12/16/2025
36,70372,STRAIGHT BOURBON WHISKEY,RED STAG SPICED BOURBON - 750ML,750ML,0,19.99,,,12/16/2025
37,42597,STORE SUPPLIES,WHISTLEPIG MAPLE SYRUP - 375ML,375ML,0,19.99,,,12/16/2025
38,171748,LIQ BASED RTD,COPPER CAN VARIETY PACK #2 3/8PK 12OZ CAN - 12.0Z (8-Pack),8pk,0,27.99,,,12/16/2025
39,76569,SINGLE MALT SCOTCH,ARDBEG BLAAK- COMMITTEE RELEASE - 750ML,750ML,0,156.99,,,12/16/2025
40,351682,IMPORTED CORDIALS,NONINO AMARO QUINTESSENTIA - 750ML,750ML,0,56.99,,,12/16/2025
41,297015,NEW ZEALAND,STARBOROUGH STARLITE S/BLC - 750ML,750ML,0,13.99,,,12/16/2025
42,238705,DOMESTIC LIQUOR SPECIALTY,99 SCHNAPPS ADULT TRICK OR TREAT BAG 8/15PK - 50ML (15-Pack),50ML,0,16.35,9.99,12/31/2025 0:00,12/16/2025
43,247768,WHITE BURGUNDY WINE,JOSEPH DROUHIN VAUDON CHABLIS - 750ML,750ML,0,39.99,,,12/16/2025
44,380476,BLENDED WHISKEY,FUYU JAPANESE WHISKY 6 PK - 750ML,750ML,0,49.99,,,12/16/2025
45,88818,LIQ BASED RTD,BUZZBALLZ BIGGIES WITCHES BREW - 1.75L,1.75L,0,16.99,,,12/16/2025
46,92373,TEQUILA FLAVORS,BLUE STAR REPOSADO TEQUILA 750ML,750ML,0,38.99,,,12/16/2025
47,73121,ITALIAN RED WINE,CENTINE TUSCANY RED - 750ML,750ML,0,15.99,,,12/16/2025
48,22914,IMPORTED BOTTLE BEER,GUINNESS DRAFT BTL 2/12 11.2OZ - 11.2Z (12-Pack),12pk,0,20.6,,,12/16/2025
49,88941,STRAIGHT BOURBON WHISKEY,WILLETT FAM EST 4YR SMALL BATCH STRAIGHT KY BOURBON WHISKEY - 750ML,750ML,0,74.99,,,12/16/2025
50,324566,MISCELLANEOUS IMPORTED SPIRITS,ARAK KSARAK - 750ML,750ML,0,21.99,,,12/16/2025
51,145837,FRANCE-OTHER,CH D'ESCLANS WHISPERING ANGEL 375ML,375ML,0,15.99,,,12/16/2025
52,169878,STRAIGHT RYE WHISKEY,BARDSTOWN BOURB CO ORIGIN SERIES KY 6YR STRAIGHT RYE WHISKEY - 750ML (1 Bottle),750ML,0,57.99,46.99,12/31/2025 0:00,12/16/2025
53,72682,STRAIGHT BOURBON WHISKEY,REMUS HAND PICKED BARREL - 113.3P - BRL 276 - 750ML,750ML,0,49.99,,,12/16/2025
54,10001,IMPORTED RUM,RUM CHATA 100ML GO CHATA PACK,100ML,0,4,,,12/16/2025
55,54150,STRAIGHT BOURBON WHISKEY,YELLOWSTONE BOURBON - 4/3PK BTL GIFT PACK - 375ML (3-Pack),3pk,0,49.99,,,12/16/2025
56,344551,DOMESTIC RUM FLAVORS,DOGFISH HEAD BARREL HONEY RUM - 750ML (1 Bottle),750ML,0,27.99,22.99,12/31/2025 0:00,12/16/2025
57,379263,SPANISH/PORTUGUESE,HARVEYS SOLERA SHERRY MEDIUM DRY - 750ML (1 Bottle),750ML,0,21.99,17.99,12/31/2025 0:00,12/16/2025
58,80292,AMERICAN RED,SUTTER HOME MER - 187ML,187ML,7104,2.99,,,12/16/2025
