RecordID,Code,Category,Description,Size,Total Inventory,Price,Sale Price,Sale End Date,SnapshotDate
0,24953,AMERICAN RED,GROTH CABERNET 750ML,750ML,0,82.99,,,46009
1,171911,STRAIGHT BOURBON WHISKEY,STONESTREET FOUNDERS EDITION BOURBON 750ML,750ML,0,66.99,,,46009
2,246354,AMERICAN WHITE,DECOY FEATHERWEIGHT CHARDONNAY 750ML,750ML,0,19.99,,,46009
3,72281,STRAIGHT RYE WHISKEY,ROSSVILLE UNION STRAIGHT RYE WHISKEY BARREL PROOF - 750ML,750ML,0,49.99,,,46009
4,171080,ITALIAN WHITE WINE,VILLARINI GRILLO 750ML,750ML,0,17.99,,,46009
5,171381,TEQUILA,SIEMBRA ALTENO TEQUILA BLANCO 750ML,750ML,0,87.99,,,46009
6,92377,TEQUILA FLAVORS,BLUE STAR BLANCO TEQUILA 750ML,750ML,0,34.99,,,46009
7,337217,AMERICAN RED,BELLE GLOSS LAS ALTURAS P/NOIR - 750ML,750ML,0,54.99,,,46009
8,246443,TEQUILA,TEQUILA RIMARI BLANCO 750ML,750ML,0,46.99,,,46009
9,169796,DOMESTIC VODKA FLAVORS,WHIPSHOTS LIME INFUSED WHIPPED CREAM VODKA 200ML,200ML,0,13.99,,,46009
10,92375,TEQUILA FLAVORS,BLUE STAR ANEJO TEQUILA 750ML,750ML,0,43.99,,,46009
11,91436,TEQUILA,MILAGRO ANEJO TEQUILA 375ML,375ML,0,21.99,,,46009
12,247293,SESSION RTD,BETTY BOOZE SPARK BOURBON W/ APPLE GINGER SOUR CHERRY 6/4PK - 355ML CN (4-Pack),4pk,0,12.99,,,46009
13,247987,SPARKLING,CASTELLO DEL POGGIO PROSECCO - 750ML,750ML,0,12.99,,,46009
14,345253,ARGENTINA,CATENA LUNLUNTA MALB - 750ML,750ML,0,27.99,,,46009
15,90937,TEQUILA,MAESTRO DOBEL DIAMANTE TEQUILA BARREL F1 750ML,750ML,0,47.99,,,46009
16,108995,AMERICAN WHITE,JUSTIN CHARDONNAY CENTRAL COAST - 750ML,750ML,0,19.99,,,46009
17,574535,AMERICAN RED,JUSTIN RESERVE CAB SAUV - 750ML,750ML,0,62.99,,,46009
18,246444,TEQUILA,TEQUILA RIMARI REPOSADO 750ML,750ML,0,56.99,,,46009
19,246727,STRAIGHT BOURBON WHISKEY,FILIBUSTER CHARRED BARREL AGNI 750ML,750ML,0,72.99,,,46009
20,166872,AMERICAN RED,BELLE GLOS PINOT NOIR DAIRYMAN VINEYARD 750ML,750ML,0,54.99,,,46009
21,234798,AMERICAN RED,LA JOTA VYD HOWELL MTN CAB/FR - 750ML,750ML,0,193.99,,,46009
22,89071,BLENDED WHISKEY,FIREBALL WINDOW BOX CINNAMON WHISKY 4/12PK - 100ML (12-Pack),12pk,0,21.99,,,46009
23,189715,SPARKLING,BARON HERZOG CAL CHAMP - 750ML,750ML,0,12.99,,,46009
24,171700,SESSION RTD,SEACRETS PEACH VODKA & SODA RTD 6/4PK 12OZ CAN - 12.0Z (4-Pack),4pk,0,17.99,,,46009
25,69456,IRISH WHISKEY,THE SEXTON IRISH WHISKEY 750ML,750ML,0,33.99,,,46009
26,240820,CHILE,MIGUEL TORRES CORDILLERA DE LOS ANDES CARMN RESA ESP - 750ML,750ML,0,25.99,,,46009
27,232996,NEW ZEALAND,CROWDED HOUSE S/BLC - 750ML,750ML,144,17.99,,,46009
28,37265,STRAIGHT BOURBON WHISKEY,WOODFORD RESERVE 90.4P - 750ML,750ML,0,32.99,,,46009
29,246729,STRAIGHT BOURBON WHISKEY,FILIBUSTER CHARRED BARREL PERSIAN GOLD 750ML,750ML,0,72.99,,,46009
30,91440,TEQUILA,MILAGRO SILVER TEQUILA 375ML,375ML,0,14.99,,,46009
31,43070,AMERICAN RED,FIRESTEED W/V P/NOIR - 750ML,750ML,0,24.99,,,46009
32,312776,ITALIAN WHITE WINE,ZONIN P/GRIG - 750ML,750ML,0,8.99,,,46009
33,20116,MEAD (WINE),CLEAR SKIES GUAVA MAMA 6/4 12OZ CANS - 12.0Z (4-Pack),4pk,0,16.99,,,46009
34,54121,IRISH WHISKEY,McCONNELL'S IRISH WHISKEY- SHERRY CASK - 750ML,750ML,0,38.99,,,46009
