RecordID,Code,Category,Description,Size,Total Inventory,Price,Sale Price,Sale End Date,SnapshotDate
51,169878,STRAIGHT RYE WHISKEY,BARDSTOWN BOURB CO ORIGIN SERIES KY 6YR STRAIGHT RYE WHISKEY - 750ML (1 Bottle),750ML,0,57.99,46.99,46022,46008
52,378983,AMERICAN RED,ANAKOTA HELENA DAKOTA VYD K/V CAB 19 - 750ML,750ML,0,254.99,,,46008
53,92377,TEQUILA FLAVORS,BLUE STAR BLANCO TEQUILA 750ML,750ML,0,34.99,,,46008
54,344551,DOMESTIC RUM FLAVORS,DOGFISH HEAD BARREL HONEY RUM - 750ML (1 Bottle),750ML,0,27.99,22.99,46022,46008
55,10113,DOMESTIC CAN BEER,TRUE RESPITE HAZY 2X/3X IPA SERIES 6/4 16OZ CANS - 16.0Z (4-Pack),4pk,0,19.99,,,46008
56,29893,DOMESTIC BOTTLE BEER,EVOLUTION VARIETY 2/12 NR - 12.0Z (12-Pack),12pk,0,19.19,,,46008
57,379263,SPANISH/PORTUGUESE,HARVEYS SOLERA SHERRY MEDIUM DRY - 750ML (1 Bottle),750ML,0,21.99,17.99,46022,46008
58,11085,MISCELLANEOUS IMPORTED SPIRITS,SHINSHU MARS IWAI TRAD JAPANESE WHISKY - 750ML,750ML,0,61.99,,,46008
59,90908,TEQUILA,GRAN CORAMINO REPOSADO TEQUILA 375ML,375ML,0,22.99,,,46008
60,54320,STRAIGHT BOURBON WHISKEY,OLD JOE DOUBLE OAK BOURBON - 750ML,750ML,0,54.99,,,46008
61,242214,STRAIGHT RYE WHISKEY,NOBLE OAK RYE WHISKEY - 750ML,750ML,0,39.99,,,46008
62,380099,SESSION RTD,GREENALL'S GIN & SODA SICILIAN LEMON RTD 6/4 CANS - 12.0Z (4-Pack),4pk,0,13.99,,,46008
63,380581,LIQ BASED RTD,BLOSSOM CINNAMON ESPRESSO MARTINI RTD 6/4 CANS - 12.0Z (4-Pack),4pk,0,17.99,,,46008
64,236226,DOMESTIC LIQUOR SPECIALTY,OLE SMOKY MOONSHINE HUNCH PUNCH - 50ML,50ML,0,3.89,,,46008
65,18431,DOMESTIC LIQUOR SPECIALTY,ROSIE CHEEKS PEACH COBBLER 750ML,750ML,0,25.99,,,46008
66,91658,TEQUILA FLAVORS,1800 BLANCO TEQUILA 375ML,375ML,0,19.99,,,46008
67,247443,RED BORDEAUX WINE,CH PHELAN SEGUR ST-ESTEPHE 19 RED - 750ML,750ML,0,80.99,,,46008
68,247549,TEQUILA,PANTALONES BLANCO TEQ ORG - 750ML,750ML,0,46.99,,,46008
69,310331,AMERICAN RED,LA JOTA HOWELL MTN MER - 750ML,750ML,0,132.99,,,46008
70,236348,AMERICAN RED,CAPRICCIO BUBBLY SANGRIA RED - 750ML,750ML,0,10.99,,,46008
71,89042,SINGLE MALT IRISH WHISKEY,GLENDALOUGH 7YR IRISH SINGLE MALT WHISKEY - 750ML,750ML,0,87.99,,,46008
72,89731,AMERICAN RED,LOLLI SWEET RED - 750ML,750ML,0,10.99,,,46008
