RecordID,Code,Category,Description,Size,TotalInventory,Price,SalePrice,SaleEndDate,SnapshotDate,Availability,PricingTier
0,80315,AMERICAN TABLE WINE,BEACH JUICE - STRAWBERRY GUAVE LEMON - 500ML,500ML,540,3.99,,,46040,InStock,Budget (<$20)
1,82570,AMERICAN WHITE,HONIG NAPA VALLEY S/BLC - 750ML,750ML,720,21.99,,,46040,InStock,Mid-Range ($20-$50)
2,93211,DOMESTIC CAN BEER,SIERRA NEVADA CELEBRATION 4/6 CAN - 12.0Z (6-Pack),6pk,0,10.99,,,46040,OutofStock,Budget (<$20)
3,345253,ARGENTINA,CATENA LUNLUNTA MALB - 750ML,750ML,0,27.99,,,46040,OutofStock,Mid-Range ($20-$50)
4,247293,SESSION RTD,BETTY BOOZE SPARK BOURBON W/ APPLE GINGER SOUR CHERRY 6/4PK - 355ML CN (4-Pack),4pk,0,12.99,,,46040,OutofStock,Budget (<$20)
5,169796,DOMESTIC VODKA FLAVORS,WHIPSHOTS LIME INFUSED WHIPPED CREAM VODKA 200ML,200ML,0,13.99,,,46040,OutofStock,Budget (<$20)
6,189715,SPARKLING,BARON HERZOG CAL CHAMP - 750ML,750ML,0,12.99,,,46040,OutofStock,Budget (<$20)
7,91436,TEQUILA,MILAGRO ANEJO TEQUILA 375ML,375ML,0,21.99,,,46040,OutofStock,Mid-Range ($20-$50)
8,247987,SPARKLING,CASTELLO DEL POGGIO PROSECCO - 750ML,750ML,0,12.99,,,46040,OutofStock,Budget (<$20)
9,89071,BLENDED WHISKEY,FIREBALL WINDOW BOX CINNAMON WHISKY 4/12PK - 100ML (12-Pack),12pk,0,21.99,,,46040,OutofStock,Mid-Range ($20-$50)
10,60380,WHITE BURGUNDY WINE,JADOT MACON BLANC VILLAGES 750ML,750ML,552,19.99,,,46040,InStock,Budget (<$20)
11,38083,IMPORTED RUM,BACARDI SUP WHITE RUM - 750ML (1 Bottle),750ML,11460,13.99,12.59,46041,46040,InStock,Budget (<$20)
12,247291,SESSION RTD,BETTY BOOZE SPARK TEQUILA VARIETY PK 4/6PK - 355ML CN (6-Pack),6pk,0,19.99,,,46040,OutofStock,Budget (<$20)
13,108995,AMERICAN WHITE,JUSTIN CHARDONNAY CENTRAL COAST - 750ML,750ML,0,19.99,,,46040,OutofStock,Budget (<$20)
14,175501,AMERICAN WHITE,BOGLE CHARD - 750ML,750ML,1308,11.99,,,46040,InStock,Budget (<$20)
15,20116,MEAD (WINE),CLEAR SKIES GUAVA MAMA 6/4 12OZ CANS - 12.0Z (4-Pack),4pk,0,16.99,,,46040,OutofStock,Budget (<$20)
16,171080,ITALIAN WHITE WINE,VILLARINI GRILLO 750ML,750ML,0,17.99,,,46040,OutofStock,Budget (<$20)
17,171700,SESSION RTD,SEACRETS PEACH VODKA & SODA RTD 6/4PK 12OZ CAN - 12.0Z (4-Pack),4pk,0,17.99,,,46040,OutofStock,Budget (<$20)
18,54150,STRAIGHT BOURBON WHISKEY,YELLOWSTONE BOURBON - 4/3PK BTL GIFT PACK - 375ML (3-Pack),3pk,0,49.99,,,46040,OutofStock,Mid-Range ($20-$50)
19,289610,TEQUILA,LUNAZUL TEQUILA - BLANCO - 1L,1L,0,26.99,,,46040,OutofStock,Mid-Range ($20-$50)
20,304922,COGNAC,MARTELL VS SINGLE DISTILLERY 750ML (1 Bottle),750ML,264,35.99,32.39,46041,46040,InStock,Mid-Range ($20-$50)
21,166872,AMERICAN RED,BELLE GLOS PINOT NOIR DAIRYMAN VINEYARD 750ML,750ML,0,54.99,,,46040,OutofStock,Premium ($50-$100)
22,333449,AMERICAN WHITE,K JACKSON VINT RES P/GRIS - 750ML,750ML,600,14.99,,,46040,InStock,Budget (<$20)
23,91440,TEQUILA,MILAGRO SILVER TEQUILA 375ML,375ML,0,14.99,,,46040,OutofStock,Budget (<$20)
24,112720,KOSHER,RASHI LIGHT PINK CONCORD - 750ML,750ML,228,5.99,,,46040,InStock,Budget (<$20)
25,312776,ITALIAN WHITE WINE,ZONIN P/GRIG - 750ML,750ML,0,8.99,,,46040,OutofStock,Budget (<$20)
26,240820,CHILE,MIGUEL TORRES CORDILLERA DE LOS ANDES CARMN RESA ESP - 750ML,750ML,0,25.99,,,46040,OutofStock,Mid-Range ($20-$50)
