RecordID,Code,Category,Description,Size,TotalInventory,Price,SalePrice,SaleEndDate,SnapshotDate,Availability,PricingTier
0,80315,AMERICAN TABLE WINE,BEACH JUICE - STRAWBERRY GUAVE LEMON - 500ML,500ML,540,3.99,,,46042,InStock,Budget (<$20)
1,82570,AMERICAN WHITE,HONIG NAPA VALLEY S/BLC - 750ML,750ML,720,21.99,,,46042,InStock,Mid-Range ($20-$50)
2,93211,DOMESTIC CAN BEER,SIERRA NEVADA CELEBRATION 4/6 CAN - 12.0Z (6-Pack),6pk,0,10.99,,,46042,OutofStock,Budget (<$20)
3,345253,ARGENTINA,CATENA LUNLUNTA MALB - 750ML,750ML,0,27.99,,,46042,OutofStock,Mid-Range ($20-$50)
4,247293,SESSION RTD,BETTY BOOZE SPARK BOURBON W/ APPLE GINGER SOUR CHERRY 6/4PK - 355ML CN (4-Pack),4pk,0,12.99,,,46042,OutofStock,Budget (<$20)
5,169796,DOMESTIC VODKA FLAVORS,WHIPSHOTS LIME INFUSED WHIPPED CREAM VODKA 200ML,200ML,0,13.99,,,46042,OutofStock,Budget (<$20)
6,189715,SPARKLING,BARON HERZOG CAL CHAMP - 750ML,750ML,0,12.99,,,46042,OutofStock,Budget (<$20)
7,91436,TEQUILA,MILAGRO ANEJO TEQUILA 375ML,375ML,0,21.99,,,46042,OutofStock,Mid-Range ($20-$50)
8,247987,SPARKLING,CASTELLO DEL POGGIO PROSECCO - 750ML,750ML,0,12.99,,,46042,OutofStock,Budget (<$20)
9,89071,BLENDED WHISKEY,FIREBALL WINDOW BOX CINNAMON WHISKY 4/12PK - 100ML (12-Pack),12pk,0,21.99,,,46042,OutofStock,Mid-Range ($20-$50)
10,60380,WHITE BURGUNDY WINE,JADOT MACON BLANC VILLAGES 750ML,750ML,552,19.99,,,46042,InStock,Budget (<$20)
11,247291,SESSION RTD,BETTY BOOZE SPARK TEQUILA VARIETY PK 4/6PK - 355ML CN (6-Pack),6pk,0,19.99,,,46042,OutofStock,Budget (<$20)
12,108995,AMERICAN WHITE,JUSTIN CHARDONNAY CENTRAL COAST - 750ML,750ML,0,19.99,,,46042,OutofStock,Budget (<$20)
13,20116,MEAD (WINE),CLEAR SKIES GUAVA MAMA 6/4 12OZ CANS - 12.0Z (4-Pack),4pk,0,16.99,,,46042,OutofStock,Budget (<$20)
14,171080,ITALIAN WHITE WINE,VILLARINI GRILLO 750ML,750ML,0,17.99,,,46042,OutofStock,Budget (<$20)
15,171700,SESSION RTD,SEACRETS PEACH VODKA & SODA RTD 6/4PK 12OZ CAN - 12.0Z (4-Pack),4pk,0,17.99,,,46042,OutofStock,Budget (<$20)
16,54150,STRAIGHT BOURBON WHISKEY,YELLOWSTONE BOURBON - 4/3PK BTL GIFT PACK - 375ML (3-Pack),3pk,0,49.99,,,46042,OutofStock,Mid-Range ($20-$50)
17,289610,TEQUILA,LUNAZUL TEQUILA - BLANCO - 1L,1L,0,26.99,,,46042,OutofStock,Mid-Range ($20-$50)
18,166872,AMERICAN RED,BELLE GLOS PINOT NOIR DAIRYMAN VINEYARD 750ML,750ML,0,54.99,,,46042,OutofStock,Premium ($50-$100)
19,91440,TEQUILA,MILAGRO SILVER TEQUILA 375ML,375ML,0,14.99,,,46042,OutofStock,Budget (<$20)
20,112720,KOSHER,RASHI LIGHT PINK CONCORD - 750ML,750ML,228,5.99,,,46042,InStock,Budget (<$20)
21,312776,ITALIAN WHITE WINE,ZONIN P/GRIG - 750ML,750ML,0,8.99,,,46042,OutofStock,Budget (<$20)
22,240820,CHILE,MIGUEL TORRES CORDILLERA DE LOS ANDES CARMN RESA ESP - 750ML,750ML,0,25.99,,,46042,OutofStock,Mid-Range ($20-$50)
23,300393,AMERICAN WHITE,NIELSON BY BYRON SANTA BARBARA CHARD - 750ML (1 Bottle),750ML,180,17.99,12.99,46053,46042,InStock,Budget (<$20)
24,43070,AMERICAN RED,FIRESTEED W/V P/NOIR - 750ML,750ML,0,24.99,,,46042,OutofStock,Mid-Range ($20-$50)
25,246430,SESSION RTD,SURFSIDE RASPBERRY TEA & VODKA 6/4PK RTD 12OZ CAN - 12.0Z (4-Pack),4pk,2064,8.99,,,46042,InStock,Budget (<$20)
26,42597,STORE SUPPLIES,WHISTLEPIG MAPLE SYRUP - 375ML,375ML,0,19.99,,,46042,OutofStock,Budget (<$20)
27,171748,LIQ BASED RTD,COPPER CAN VARIETY PACK #2 3/8PK 12OZ CAN - 12.0Z (8-Pack),8pk,0,27.99,,,46042,OutofStock,Mid-Range ($20-$50)
28,73121,ITALIAN RED WINE,CENTINE TUSCANY RED - 750ML,750ML,0,15.99,,,46042,OutofStock,Budget (<$20)
29,54324,STORE SUPPLIES,BARSMITH DEHYDRATED LIMES - 1.3OZ - 1.3Z,1.3Z,0,9.99,,,46042,OutofStock,Budget (<$20)
30,247768,WHITE BURGUNDY WINE,JOSEPH DROUHIN VAUDON CHABLIS - 750ML,750ML,0,39.99,,,46042,OutofStock,Mid-Range ($20-$50)
31,180158,DOMESTIC CAN BEER,SAM ADAMS WINTER WHITE ALE 2/12 CAN - 12.0Z (12-Pack),12pk,1056,21.99,,,46042,InStock,Mid-Range ($20-$50)
32,79405,SPARKLING,FREIXENET CORDON NEGRO EX DRY - 750ML,750ML,852,16.99,,,46042,InStock,Budget (<$20)
33,41000,AMERICAN WHITE,DUCKHORN N/V S/BLC - 750ML,750ML,888,29.99,,,46042,InStock,Mid-Range ($20-$50)
34,88818,LIQ BASED RTD,BUZZBALLZ BIGGIES WITCHES BREW - 1.75L,1.75L,0,16.99,,,46042,OutofStock,Budget (<$20)
35,145837,FRANCE-OTHER,CH D'ESCLANS WHISPERING ANGEL 375ML,375ML,0,15.99,,,46042,OutofStock,Budget (<$20)
36,246243,TEQUILA,EL TORO TEQUILA GOLD - 1L,1L,0,13.99,,,46042,OutofStock,Budget (<$20)
37,380510,FRENCH WHITE WINE,CH DE CREZANCY SANCERRE BLANC - 750ML,750ML,0,34.99,,,46042,OutofStock,Mid-Range ($20-$50)
38,84721,AMERICAN WHITE,BERINGER CAL CHEN/BLC - 1.5L,1.5L,84,17.99,,,46042,InStock,Budget (<$20)
39,125261,SPANISH/PORTUGUESE,MARQUES DE CACERAS RIOJA ROSE - 750ML,750ML,0,13.99,,,46042,OutofStock,Budget (<$20)
40,241696,AMERICAN RED,THE PRISONER CAB - 750ML,750ML,84,52.99,,,46042,InStock,Premium ($50-$100)
41,27120,IMPORTED SCOTCH,CLAN MACGREGOR SCOTCH - 1.75L,1.75L,144,22.99,,,46042,InStock,Mid-Range ($20-$50)
42,318589,SPARKLING,BIUTIFUL CAVA RSE - 750ML,750ML,312,14.99,,,46042,InStock,Budget (<$20)
43,247447,RED BORDEAUX WINE,CH LAGRANGE 19 ST-JULIEN GR CRU CLASSE - 750ML,750ML,0,97.99,,,46042,OutofStock,Premium ($50-$100)
44,234798,AMERICAN RED,LA JOTA VYD HOWELL MTN CAB/FR - 750ML,750ML,0,193.99,,,46042,OutofStock,Super-Premium ($100-$500)
