RecordID,Code,Category,Description,Size,TotalInventory,Price,SalePrice,SaleEndDate,SnapshotDate,Availability,PricingTier
0,82570,AMERICAN WHITE,HONIG NAPA VALLEY S/BLC - 750ML,750ML,720,21.99,,,46043,InStock,Mid-Range ($20-$50)
1,355848,ITALIAN RED WINE,STELLA ROSA BLUEBERRY - 750ML,750ML,636,13.99,,,46043,InStock,Budget (<$20)
2,93211,DOMESTIC CAN BEER,SIERRA NEVADA CELEBRATION 4/6 CAN - 12.0Z (6-Pack),6pk,0,10.99,,,46043,OutofStock,Budget (<$20)
3,345253,ARGENTINA,CATENA LUNLUNTA MALB - 750ML,750ML,0,27.99,,,46043,OutofStock,Mid-Range ($20-$50)
4,25394,DOMESTIC BOTTLE BEER,NB FAT TIRE 2/12 NR - 12.0Z (12-Pack),12pk,3192,22.99,,,46043,InStock,Mid-Range ($20-$50)
5,88137,DOMESTIC BOTTLE BEER,HEAVY SEAS LOOSE CANNON - NR - 12.0Z (6-Pack),6pk,1416,12.99,,,46043,InStock,Budget (<$20)
6,239590,WINE-BASED COOLERS,BUZZBALLZ CHILLERS SOUR APPLE 24/CS - 187ML,187ML,864,3.99,,,46043,InStock,Budget (<$20)
7,247293,SESSION RTD,BETTY BOOZE SPARK BOURBON W/ APPLE GINGER SOUR CHERRY 6/4PK - 355ML CN (4-Pack),4pk,0,12.99,,,46043,OutofStock,Budget (<$20)
8,169796,DOMESTIC VODKA FLAVORS,WHIPSHOTS LIME INFUSED WHIPPED CREAM VODKA 200ML,200ML,0,13.99,,,46043,OutofStock,Budget (<$20)
9,189715,SPARKLING,BARON HERZOG CAL CHAMP - 750ML,750ML,0,12.99,,,46043,OutofStock,Budget (<$20)
10,91436,TEQUILA,MILAGRO ANEJO TEQUILA 375ML,375ML,0,21.99,,,46043,OutofStock,Mid-Range ($20-$50)
11,35840,DOMESTIC VODKA,BOWMAN'S VODKA - 1.75L,1.75L,0,11.99,,,46043,OutofStock,Budget (<$20)
12,247987,SPARKLING,CASTELLO DEL POGGIO PROSECCO - 750ML,750ML,0,12.99,,,46043,OutofStock,Budget (<$20)
13,89071,BLENDED WHISKEY,FIREBALL WINDOW BOX CINNAMON WHISKY 4/12PK - 100ML (12-Pack),12pk,0,21.99,,,46043,OutofStock,Mid-Range ($20-$50)
14,14546,DOMESTIC NON ALCOHOLIC BEER,ATHLETIC FREE WAVE NA 4/6 CANS - 12.0Z (6-Pack),6pk,6480,11.99,,,46043,InStock,Budget (<$20)
15,60380,WHITE BURGUNDY WINE,JADOT MACON BLANC VILLAGES 750ML,750ML,552,19.99,,,46043,InStock,Budget (<$20)
16,247291,SESSION RTD,BETTY BOOZE SPARK TEQUILA VARIETY PK 4/6PK - 355ML CN (6-Pack),6pk,0,19.99,,,46043,OutofStock,Budget (<$20)
17,437620,VERMOUTH,DOLIN DRY VERMOUTH - 750ML,750ML,204,21.99,,,46043,InStock,Mid-Range ($20-$50)
18,108995,AMERICAN WHITE,JUSTIN CHARDONNAY CENTRAL COAST - 750ML,750ML,0,19.99,,,46043,OutofStock,Budget (<$20)
19,20116,MEAD (WINE),CLEAR SKIES GUAVA MAMA 6/4 12OZ CANS - 12.0Z (4-Pack),4pk,0,16.99,,,46043,OutofStock,Budget (<$20)
20,171080,ITALIAN WHITE WINE,VILLARINI GRILLO 750ML,750ML,0,17.99,,,46043,OutofStock,Budget (<$20)
21,171700,SESSION RTD,SEACRETS PEACH VODKA & SODA RTD 6/4PK 12OZ CAN - 12.0Z (4-Pack),4pk,0,17.99,,,46043,OutofStock,Budget (<$20)
22,54150,STRAIGHT BOURBON WHISKEY,YELLOWSTONE BOURBON - 4/3PK BTL GIFT PACK - 375ML (3-Pack),3pk,0,49.99,,,46043,OutofStock,Mid-Range ($20-$50)
23,289610,TEQUILA,LUNAZUL TEQUILA - BLANCO - 1L,1L,0,26.99,,,46043,OutofStock,Mid-Range ($20-$50)
24,166872,AMERICAN RED,BELLE GLOS PINOT NOIR DAIRYMAN VINEYARD 750ML,750ML,0,54.99,,,46043,OutofStock,Premium ($50-$100)
25,91440,TEQUILA,MILAGRO SILVER TEQUILA 375ML,375ML,0,14.99,,,46043,OutofStock,Budget (<$20)
26,112720,KOSHER,RASHI LIGHT PINK CONCORD - 750ML,750ML,228,5.99,,,46043,InStock,Budget (<$20)
27,312776,ITALIAN WHITE WINE,ZONIN P/GRIG - 750ML,750ML,0,8.99,,,46043,OutofStock,Budget (<$20)
28,240820,CHILE,MIGUEL TORRES CORDILLERA DE LOS ANDES CARMN RESA ESP - 750ML,750ML,0,25.99,,,46043,OutofStock,Mid-Range ($20-$50)
29,81302,AMERICAN TABLE WINE,PETER VELLA CHABLIS BIB - 5L,5L,20,21.99,,,46043,InStock,Mid-Range ($20-$50)
30,300393,AMERICAN WHITE,NIELSON BY BYRON SANTA BARBARA CHARD - 750ML (1 Bottle),750ML,180,17.99,12.99,46053,46043,InStock,Budget (<$20)
31,43070,AMERICAN RED,FIRESTEED W/V P/NOIR - 750ML,750ML,0,24.99,,,46043,OutofStock,Mid-Range ($20-$50)
32,246430,SESSION RTD,SURFSIDE RASPBERRY TEA & VODKA 6/4PK RTD 12OZ CAN - 12.0Z (4-Pack),4pk,2064,8.99,,,46043,InStock,Budget (<$20)
33,42597,STORE SUPPLIES,WHISTLEPIG MAPLE SYRUP - 375ML,375ML,0,19.99,,,46043,OutofStock,Budget (<$20)
