RecordID,Code,Category,Description,Size,TotalInventory,Price,SalePrice,SaleEndDate,SnapshotDate,Availability,PricingTier
0,71543,IMPORTED CORDIALS,GALLIANO L'AUTHENTICO LIQUEUR - 750ML (1 Bottle),750ML,0,38.99,35.09,46041,46041,OutofStock,Mid-Range ($20-$50)
1,171080,ITALIAN WHITE WINE,VILLARINI GRILLO 750ML,750ML,0,17.99,,,46041,OutofStock,Budget (<$20)
2,337217,AMERICAN RED,BELLE GLOSS LAS ALTURAS P/NOIR - 750ML,750ML,0,54.99,,,46041,OutofStock,Premium ($50-$100)
3,169796,DOMESTIC VODKA FLAVORS,WHIPSHOTS LIME INFUSED WHIPPED CREAM VODKA 200ML,200ML,0,13.99,,,46041,OutofStock,Budget (<$20)
4,91436,TEQUILA,MILAGRO ANEJO TEQUILA 375ML,375ML,0,21.99,,,46041,OutofStock,Mid-Range ($20-$50)
5,247293,SESSION RTD,BETTY BOOZE SPARK BOURBON W/ APPLE GINGER SOUR CHERRY 6/4PK - 355ML CN (4-Pack),4pk,0,12.99,,,46041,OutofStock,Budget (<$20)
6,247987,SPARKLING,CASTELLO DEL POGGIO PROSECCO - 750ML,750ML,0,12.99,,,46041,OutofStock,Budget (<$20)
7,345253,ARGENTINA,CATENA LUNLUNTA MALB - 750ML,750ML,0,27.99,,,46041,OutofStock,Mid-Range ($20-$50)
8,108995,AMERICAN WHITE,JUSTIN CHARDONNAY CENTRAL COAST - 750ML,750ML,0,19.99,,,46041,OutofStock,Budget (<$20)
9,166872,AMERICAN RED,BELLE GLOS PINOT NOIR DAIRYMAN VINEYARD 750ML,750ML,0,54.99,,,46041,OutofStock,Premium ($50-$100)
10,247447,RED BORDEAUX WINE,CH LAGRANGE 19 ST-JULIEN GR CRU CLASSE - 750ML,750ML,0,97.99,,,46041,OutofStock,Premium ($50-$100)
11,89071,BLENDED WHISKEY,FIREBALL WINDOW BOX CINNAMON WHISKY 4/12PK - 100ML (12-Pack),12pk,0,21.99,,,46041,OutofStock,Mid-Range ($20-$50)
12,189715,SPARKLING,BARON HERZOG CAL CHAMP - 750ML,750ML,0,12.99,,,46041,OutofStock,Budget (<$20)
13,171700,SESSION RTD,SEACRETS PEACH VODKA & SODA RTD 6/4PK 12OZ CAN - 12.0Z (4-Pack),4pk,0,17.99,,,46041,OutofStock,Budget (<$20)
14,240820,CHILE,MIGUEL TORRES CORDILLERA DE LOS ANDES CARMN RESA ESP - 750ML,750ML,0,25.99,,,46041,OutofStock,Mid-Range ($20-$50)
15,234798,AMERICAN RED,LA JOTA VYD HOWELL MTN CAB/FR - 750ML,750ML,0,193.99,,,46041,OutofStock,Super-Premium ($100-$500)
16,91440,TEQUILA,MILAGRO SILVER TEQUILA 375ML,375ML,0,14.99,,,46041,OutofStock,Budget (<$20)
17,43070,AMERICAN RED,FIRESTEED W/V P/NOIR - 750ML,750ML,0,24.99,,,46041,OutofStock,Mid-Range ($20-$50)
18,312776,ITALIAN WHITE WINE,ZONIN P/GRIG - 750ML,750ML,0,8.99,,,46041,OutofStock,Budget (<$20)
19,20116,MEAD (WINE),CLEAR SKIES GUAVA MAMA 6/4 12OZ CANS - 12.0Z (4-Pack),4pk,0,16.99,,,46041,OutofStock,Budget (<$20)
20,247291,SESSION RTD,BETTY BOOZE SPARK TEQUILA VARIETY PK 4/6PK - 355ML CN (6-Pack),6pk,0,19.99,,,46041,OutofStock,Budget (<$20)
21,42597,STORE SUPPLIES,WHISTLEPIG MAPLE SYRUP - 375ML,375ML,0,19.99,,,46041,OutofStock,Budget (<$20)
