RecordID,Code,Category,Description,Size,TotalInventory,Price,SalePrice,SaleEndDate,SnapshotDate,Availability,PricingTier
0,72281,STRAIGHT RYE WHISKEY,ROSSVILLE UNION STRAIGHT RYE WHISKEY BARREL PROOF - 750ML,750ML,0,49.99,,,46034,OutofStock,Mid-Range ($20-$50)
1,246443,TEQUILA,TEQUILA RIMARI BLANCO 750ML,750ML,0,46.99,,,46034,OutofStock,Mid-Range ($20-$50)
2,14737,AMERICAN RED,CLINE LODI O/V ZINF - 750ML,750ML,348,13.99,,,46034,InStock,Budget (<$20)
3,93211,DOMESTIC CAN BEER,SIERRA NEVADA CELEBRATION 4/6 CAN - 12.0Z (6-Pack),6pk,0,10.99,,,46034,OutofStock,Budget (<$20)
4,345253,ARGENTINA,CATENA LUNLUNTA MALB - 750ML,750ML,0,27.99,,,46034,OutofStock,Mid-Range ($20-$50)
5,171381,TEQUILA,SIEMBRA ALTENO TEQUILA BLANCO 750ML,750ML,0,87.99,,,46034,OutofStock,Premium ($50-$100)
6,71796,SESSION RTD,HIGH NOON SUN SIPS BLK CHERRY  - RTD - 6/4PK - 355ML (4-Pack),4pk,3096,10.99,,,46034,InStock,Budget (<$20)
7,246444,TEQUILA,TEQUILA RIMARI REPOSADO 750ML,750ML,0,56.99,,,46034,OutofStock,Premium ($50-$100)
8,247293,SESSION RTD,BETTY BOOZE SPARK BOURBON W/ APPLE GINGER SOUR CHERRY 6/4PK - 355ML CN (4-Pack),4pk,0,12.99,,,46034,OutofStock,Budget (<$20)
9,169796,DOMESTIC VODKA FLAVORS,WHIPSHOTS LIME INFUSED WHIPPED CREAM VODKA 200ML,200ML,0,13.99,,,46034,OutofStock,Budget (<$20)
10,189715,SPARKLING,BARON HERZOG CAL CHAMP - 750ML,750ML,0,12.99,,,46034,OutofStock,Budget (<$20)
11,91436,TEQUILA,MILAGRO ANEJO TEQUILA 375ML,375ML,0,21.99,,,46034,OutofStock,Mid-Range ($20-$50)
12,90937,TEQUILA,MAESTRO DOBEL DIAMANTE TEQUILA BARREL F1 750ML,750ML,0,47.99,,,46034,OutofStock,Mid-Range ($20-$50)
13,247987,SPARKLING,CASTELLO DEL POGGIO PROSECCO - 750ML,750ML,0,12.99,,,46034,OutofStock,Budget (<$20)
14,89071,BLENDED WHISKEY,FIREBALL WINDOW BOX CINNAMON WHISKY 4/12PK - 100ML (12-Pack),12pk,0,21.99,,,46034,OutofStock,Mid-Range ($20-$50)
15,69456,IRISH WHISKEY,THE SEXTON IRISH WHISKEY 750ML,750ML,0,33.99,,,46034,OutofStock,Mid-Range ($20-$50)
16,41033,COGNAC,HENNESSY COGNAC VS - 1L,1L,768,60.99,,,46034,InStock,Premium ($50-$100)
17,247291,SESSION RTD,BETTY BOOZE SPARK TEQUILA VARIETY PK 4/6PK - 355ML CN (6-Pack),6pk,0,19.99,,,46034,OutofStock,Budget (<$20)
18,76569,SINGLE MALT SCOTCH,ARDBEG BLAAK- COMMITTEE RELEASE - 750ML,750ML,0,156.99,,,46034,OutofStock,Super-Premium ($100-$500)
19,108995,AMERICAN WHITE,JUSTIN CHARDONNAY CENTRAL COAST - 750ML,750ML,0,19.99,,,46034,OutofStock,Budget (<$20)
20,30907,DOMESTIC CAN BEER,GOLDEN ROAD MANGO CART 2/12 CAN - 12.0Z (12-Pack),12pk,864,23.99,,,46034,InStock,Mid-Range ($20-$50)
21,20116,MEAD (WINE),CLEAR SKIES GUAVA MAMA 6/4 12OZ CANS - 12.0Z (4-Pack),4pk,0,16.99,,,46034,OutofStock,Budget (<$20)
22,171080,ITALIAN WHITE WINE,VILLARINI GRILLO 750ML,750ML,0,17.99,,,46034,OutofStock,Budget (<$20)
23,171700,SESSION RTD,SEACRETS PEACH VODKA & SODA RTD 6/4PK 12OZ CAN - 12.0Z (4-Pack),4pk,0,17.99,,,46034,OutofStock,Budget (<$20)
24,54150,STRAIGHT BOURBON WHISKEY,YELLOWSTONE BOURBON - 4/3PK BTL GIFT PACK - 375ML (3-Pack),3pk,0,49.99,,,46034,OutofStock,Mid-Range ($20-$50)
25,289610,TEQUILA,LUNAZUL TEQUILA - BLANCO - 1L,1L,0,26.99,,,46034,OutofStock,Mid-Range ($20-$50)
26,246727,STRAIGHT BOURBON WHISKEY,FILIBUSTER CHARRED BARREL AGNI 750ML,750ML,0,72.99,,,46034,OutofStock,Premium ($50-$100)
27,166872,AMERICAN RED,BELLE GLOS PINOT NOIR DAIRYMAN VINEYARD 750ML,750ML,0,54.99,,,46034,OutofStock,Premium ($50-$100)
28,180081,TEQUILA,TRES AGAVE REPOSADO BARREL 237- 750ML,750ML,0,39.99,,,46034,OutofStock,Mid-Range ($20-$50)
29,91440,TEQUILA,MILAGRO SILVER TEQUILA 375ML,375ML,0,14.99,,,46034,OutofStock,Budget (<$20)
30,37265,STRAIGHT BOURBON WHISKEY,WOODFORD RESERVE 90.4P - 750ML,750ML,0,32.99,,,46034,OutofStock,Mid-Range ($20-$50)
31,312776,ITALIAN WHITE WINE,ZONIN P/GRIG - 750ML,750ML,0,8.99,,,46034,OutofStock,Budget (<$20)
32,240820,CHILE,MIGUEL TORRES CORDILLERA DE LOS ANDES CARMN RESA ESP - 750ML,750ML,0,25.99,,,46034,OutofStock,Mid-Range ($20-$50)
33,54121,IRISH WHISKEY,McCONNELL'S IRISH WHISKEY- SHERRY CASK - 750ML,750ML,0,38.99,,,46034,OutofStock,Mid-Range ($20-$50)
34,246729,STRAIGHT BOURBON WHISKEY,FILIBUSTER CHARRED BARREL PERSIAN GOLD 750ML,750ML,0,72.99,,,46034,OutofStock,Premium ($50-$100)
35,43070,AMERICAN RED,FIRESTEED W/V P/NOIR - 750ML,750ML,0,24.99,,,46034,OutofStock,Mid-Range ($20-$50)
36,78263,AMERICAN TABLE WINE,ARBOR MIST STRAWBERRY WH/ZIN - 1.5L,1.5L,18,10.99,,,46034,InStock,Budget (<$20)
37,42597,STORE SUPPLIES,WHISTLEPIG MAPLE SYRUP - 375ML,375ML,0,19.99,,,46034,OutofStock,Budget (<$20)
38,171748,LIQ BASED RTD,COPPER CAN VARIETY PACK #2 3/8PK 12OZ CAN - 12.0Z (8-Pack),8pk,0,27.99,,,46034,OutofStock,Mid-Range ($20-$50)
39,73121,ITALIAN RED WINE,CENTINE TUSCANY RED - 750ML,750ML,0,15.99,,,46034,OutofStock,Budget (<$20)
40,351682,IMPORTED CORDIALS,NONINO AMARO QUINTESSENTIA - 750ML,750ML,0,56.99,,,46034,OutofStock,Premium ($50-$100)
41,37093,MALT BASED SELTZER,WHITE CLAW VP 3  2/12PK 12.OZ CAN - 12.0Z (12-Pack),12pk,28104,21.99,,,46034,InStock,Mid-Range ($20-$50)
42,246728,STRAIGHT BOURBON WHISKEY,FILIBUSTER CHARRED BARREL KYOTO MIST 750ML,750ML,0,72.99,,,46034,OutofStock,Premium ($50-$100)
43,247768,WHITE BURGUNDY WINE,JOSEPH DROUHIN VAUDON CHABLIS - 750ML,750ML,0,39.99,,,46034,OutofStock,Mid-Range ($20-$50)
44,380476,BLENDED WHISKEY,FUYU JAPANESE WHISKY 6 PK - 750ML,750ML,0,49.99,,,46034,OutofStock,Mid-Range ($20-$50)
45,79405,SPARKLING,FREIXENET CORDON NEGRO EX DRY - 750ML,750ML,852,16.99,,,46034,InStock,Budget (<$20)
46,88818,LIQ BASED RTD,BUZZBALLZ BIGGIES WITCHES BREW - 1.75L,1.75L,0,16.99,,,46034,OutofStock,Budget (<$20)
47,232822,FRENCH BLUSH,MAISON FABRE C'PROV SERPOLET ROSE - 750ML,750ML,132,19.99,,,46034,InStock,Budget (<$20)
48,79677,VERMOUTH,NOILLY PRATT DRY VERMOUTH - 750ML,750ML,552,15.99,,,46034,InStock,Budget (<$20)
49,145837,FRANCE-OTHER,CH D'ESCLANS WHISPERING ANGEL 375ML,375ML,0,15.99,,,46034,OutofStock,Budget (<$20)
50,246243,TEQUILA,EL TORO TEQUILA GOLD - 1L,1L,0,13.99,,,46034,OutofStock,Budget (<$20)
51,380510,FRENCH WHITE WINE,CH DE CREZANCY SANCERRE BLANC - 750ML,750ML,0,34.99,,,46034,OutofStock,Mid-Range ($20-$50)
52,84721,AMERICAN WHITE,BERINGER CAL CHEN/BLC - 1.5L,1.5L,84,17.99,,,46034,InStock,Budget (<$20)
53,300932,RED BORDEAUX WINE,CH MALBEC RED BORD - 750ML,750ML,468,17.99,,,46034,InStock,Budget (<$20)
54,125261,SPANISH/PORTUGUESE,MARQUES DE CACERAS RIOJA ROSE - 750ML,750ML,0,13.99,,,46034,OutofStock,Budget (<$20)
55,30965,IMPORTED CAN BEER,MODELO ORO 2/12 CAN - 12.0Z (12-Pack),12pk,4608,16.99,,,46034,InStock,Budget (<$20)
56,88824,STRAIGHT BOURBON WHISKEY,MR & MRS TERPS RESERVE STRAIGHT KY BOURBON WHISKEY MOCO - 750ML,750ML,0,129.99,,,46034,OutofStock,Super-Premium ($100-$500)
57,83813,RED BORDEAUX WINE,CH LE CALVAIRE BORDEAUX SUPERIEUR - 750ML,750ML,132,12.99,,,46034,InStock,Budget (<$20)
58,171217,DOMESTIC CORDIALS,MCCLINTOCK SPICED PEAR LIQUEUR - 750ML,750ML,0,23.99,,,46034,OutofStock,Mid-Range ($20-$50)
59,89270,DOMESTIC VODKA,PLATINUM 10X VODKA - 750ML,750ML,0,13.99,,,46034,OutofStock,Budget (<$20)
60,82078,NEW ZEALAND,CUPCAKE MARLBOROUGH S/BLC - 750ML,750ML,24,14.99,,,46034,InStock,Budget (<$20)
61,247447,RED BORDEAUX WINE,CH LAGRANGE 19 ST-JULIEN GR CRU CLASSE - 750ML,750ML,0,97.99,,,46034,OutofStock,Premium ($50-$100)
62,234798,AMERICAN RED,LA JOTA VYD HOWELL MTN CAB/FR - 750ML,750ML,0,193.99,,,46034,OutofStock,Super-Premium ($100-$500)
63,380336,AMERICAN RED,HUNDRED ACRE FORTUNATE SON THE DIPLOMAT 6/750ML,750ML,0,221.99,,,46034,OutofStock,Super-Premium ($100-$500)
64,349246,AMERICAN RED,BERINGER BBN BRL AGD RED BLEND - 750ML,750ML,84,16.99,,,46034,InStock,Budget (<$20)
65,92377,TEQUILA FLAVORS,BLUE STAR BLANCO TEQUILA 750ML,750ML,0,34.99,,,46034,OutofStock,Mid-Range ($20-$50)
66,51003,IMPORTED NON ALCOHOLIC BEER,HEINEKEN 0.0 NA 4/6PK 11.2.OZ NR - 11.2Z (6-Pack),6pk,504,10.99,,,46034,InStock,Budget (<$20)
67,98655,IMPORTED BOTTLE BEER,PAULANER HEFEWEIZEN NR - 12.0Z (6-Pack),6pk,2568,15.99,,,46034,InStock,Budget (<$20)
68,180133,DOMESTIC CAN BEER,SAM ADAMS WINTER LAGER 2/12 CN - 12.0Z (12-Pack),12pk,480,21.99,,,46034,InStock,Mid-Range ($20-$50)
69,29893,DOMESTIC BOTTLE BEER,EVOLUTION VARIETY 2/12 NR - 12.0Z (12-Pack),12pk,0,19.19,,,46034,OutofStock,Budget (<$20)
70,36056,IMPORTED VODKA,ABSOLUT VODKA - 80 PROOF - 750ML,750ML,108,24.99,,,46034,InStock,Mid-Range ($20-$50)
71,11085,MISCELLANEOUS IMPORTED SPIRITS,SHINSHU MARS IWAI TRAD JAPANESE WHISKY - 750ML,750ML,0,61.99,,,46034,OutofStock,Premium ($50-$100)
72,90908,TEQUILA,GRAN CORAMINO REPOSADO TEQUILA 375ML,375ML,0,22.99,,,46034,OutofStock,Mid-Range ($20-$50)
73,54320,STRAIGHT BOURBON WHISKEY,OLD JOE DOUBLE OAK BOURBON - 750ML,750ML,0,54.99,,,46034,OutofStock,Premium ($50-$100)
74,242214,STRAIGHT RYE WHISKEY,NOBLE OAK RYE WHISKEY - 750ML,750ML,0,39.99,,,46034,OutofStock,Mid-Range ($20-$50)
75,370028,FRENCH BLUSH,WOLFFER SUMMER IN A BOTTLE ROSE PROV - 750ML,750ML,72,30.99,,,46034,InStock,Mid-Range ($20-$50)
76,15407,ITALIAN RED WINE,BANFI ROSA REGALE BRACHETTO 750ML,750ML,36,22.99,,,46034,InStock,Mid-Range ($20-$50)
77,380099,SESSION RTD,GREENALL'S GIN & SODA SICILIAN LEMON RTD 6/4 CANS - 12.0Z (4-Pack),4pk,0,13.99,,,46034,OutofStock,Budget (<$20)
78,33880,DOMESTIC RUM FLAVORS,ADMIRAL NELSON RUM - SPICED - 1.75L,1.75L,186,15.99,,,46034,InStock,Budget (<$20)
79,380581,LIQ BASED RTD,BLOSSOM CINNAMON ESPRESSO MARTINI RTD 6/4 CANS - 12.0Z (4-Pack),4pk,0,17.99,,,46034,OutofStock,Budget (<$20)
80,427054,AMERICAN WHITE,MATCHBOOK MAX PACK CHARD 750ML,750ML,240,15.99,,,46034,InStock,Budget (<$20)
81,18431,DOMESTIC LIQUOR SPECIALTY,ROSIE CHEEKS PEACH COBBLER 750ML,750ML,0,25.99,,,46034,OutofStock,Mid-Range ($20-$50)
82,91658,TEQUILA FLAVORS,1800 BLANCO TEQUILA 375ML,375ML,0,19.99,,,46034,OutofStock,Budget (<$20)
83,79994,SINGLE MALT SCOTCH,ABERLOUR 12 YR SM SCOTCH 6/CS - 750ML,750ML,0,58.99,,,46034,OutofStock,Premium ($50-$100)
84,83923,AMERICAN WHITE,BAREFOOT CEL RIESLING - 1.5L,1.5L,192,14.99,,,46034,InStock,Budget (<$20)
85,40177,DOMESTIC BRANDY,E&J BRANDY VS - 750ML,750ML,96,10.99,,,46034,InStock,Budget (<$20)
86,96180,MALT BASE COOLERS,MIKES VARIETY 12 PK NR - 11.2Z (12-Pack),12pk,8664,23.99,,,46034,InStock,Mid-Range ($20-$50)
87,247549,TEQUILA,PANTALONES BLANCO TEQ ORG - 750ML,750ML,0,46.99,,,46034,OutofStock,Mid-Range ($20-$50)
88,66494,DOMESTIC CAN BEER,SAM ADAMS AMERICAN LIGHT 2/12 CN - 12.0Z (12-Pack),12pk,2016,20.99,,,46034,InStock,Mid-Range ($20-$50)
89,244012,LIQ BASED RTD,POST MERIDIEM MAI TAI - 24/100ML,100ML,192,4.99,,,46034,InStock,Budget (<$20)
90,236348,AMERICAN RED,CAPRICCIO BUBBLY SANGRIA RED - 750ML,750ML,0,10.99,,,46034,OutofStock,Budget (<$20)
91,89042,SINGLE MALT IRISH WHISKEY,GLENDALOUGH 7YR IRISH SINGLE MALT WHISKEY - 750ML,750ML,0,87.99,,,46034,OutofStock,Premium ($50-$100)
92,89731,AMERICAN RED,LOLLI SWEET RED - 750ML,750ML,0,10.99,,,46034,OutofStock,Budget (<$20)
93,54274,STRAIGHT RYE WHISKEY,FALLEN OAK RYE - 750ML,750ML,0,42.99,,,46034,OutofStock,Mid-Range ($20-$50)
94,92375,TEQUILA FLAVORS,BLUE STAR ANEJO TEQUILA 750ML,750ML,0,43.99,,,46034,OutofStock,Mid-Range ($20-$50)
95,13844,DOMESTIC RUM FLAVORS,LYON RUM TRIO 375ML,375ML,0,54.99,,,46034,OutofStock,Premium ($50-$100)
96,54250,BLENDED WHISKEY,DRAGON DISTILLERY FIGZILLA - 750ML,750ML,0,29.99,,,46034,OutofStock,Mid-Range ($20-$50)
97,54233,STRAIGHT BOURBON WHISKEY,SHMIDT CRIMSON WHISKY 750ML,750ML,0,47.99,,,46034,OutofStock,Mid-Range ($20-$50)
98,574855,IMPORTED DESSERT WINE,ZOU STRAWBERRY WINE - 750ML,750ML,0,14.99,,,46034,OutofStock,Budget (<$20)
99,92373,TEQUILA FLAVORS,BLUE STAR REPOSADO TEQUILA 750ML,750ML,0,38.99,,,46034,OutofStock,Mid-Range ($20-$50)
100,22914,IMPORTED BOTTLE BEER,GUINNESS DRAFT BTL 2/12 11.2OZ - 11.2Z (12-Pack),12pk,0,20.6,,,46034,OutofStock,Mid-Range ($20-$50)
101,239604,STRAIGHT BOURBON WHISKEY,BASIL HAYDEN'S KY STRAIGHT BOURB WHISKEY - 1.75L,1.75L,0,80.99,,,46034,OutofStock,Premium ($50-$100)
102,88941,STRAIGHT BOURBON WHISKEY,WILLETT FAM EST 4YR SMALL BATCH STRAIGHT KY BOURBON WHISKEY - 750ML,750ML,0,74.99,,,46034,OutofStock,Premium ($50-$100)
103,324566,MISCELLANEOUS IMPORTED SPIRITS,ARAK KSARAK - 750ML,750ML,0,21.99,,,46034,OutofStock,Mid-Range ($20-$50)
104,72682,STRAIGHT BOURBON WHISKEY,REMUS HAND PICKED BARREL - 113.3P - BRL 276 - 750ML,750ML,0,49.99,,,46034,OutofStock,Mid-Range ($20-$50)
105,10001,IMPORTED RUM,RUM CHATA 100ML GO CHATA PACK,100ML,0,4,,,46034,OutofStock,Budget (<$20)
106,89248,LIQUEUR,BARTON 1792 DIST CHOCOLATE BOURB BALL CREAM LIQ - 750ML,750ML,0,27.99,,,46034,OutofStock,Mid-Range ($20-$50)
107,54513,SESSION RTD,JACK DANIELS & COKE VARIETY PACK -   6 PK - RTD - 355ML (4-Pack),4pk,840,11.99,,,46034,InStock,Budget (<$20)
108,245068,STRAIGHT RYE WHISKEY,UNCLE NEAREST RYE - 750ML,750ML,108,52.99,,,46034,InStock,Premium ($50-$100)
109,25407,DOMESTIC BOTTLE BEER,NB VOODOO RANGER IMPERIAL IPA 4/6 NR - 12.0Z (6-Pack),6pk,5232,12.99,,,46034,InStock,Budget (<$20)
