RecordID,Code,Category,Description,Size,TotalInventory,Price,SalePrice,SaleEndDate,SnapshotDate,Availability,PricingTier
0,93211,DOMESTIC CAN BEER,SIERRA NEVADA CELEBRATION 4/6 CAN - 12.0Z (6-Pack),6pk,0,10.99,,,46053,OutofStock,Budget (<$20)
1,345253,ARGENTINA,CATENA LUNLUNTA MALB - 750ML,750ML,0,27.99,,,46053,OutofStock,Mid-Range ($20-$50)
2,302971,AMERICAN WHITE,WM HILL NC CHARD - 750ML,750ML,84,12.99,,,46053,InStock,Budget (<$20)
3,247293,SESSION RTD,BETTY BOOZE SPARK BOURBON W/ APPLE GINGER SOUR CHERRY 6/4PK - 355ML CN (4-Pack),4pk,0,12.99,,,46053,OutofStock,Budget (<$20)
4,169796,DOMESTIC VODKA FLAVORS,WHIPSHOTS LIME INFUSED WHIPPED CREAM VODKA 200ML,200ML,0,13.99,,,46053,OutofStock,Budget (<$20)
5,189715,SPARKLING,BARON HERZOG CAL CHAMP - 750ML,750ML,0,12.99,,,46053,OutofStock,Budget (<$20)
6,240852,ITALIAN WHITE WINE,IL CASATO P/GRIG VALDADIGE - 750ML,750ML,168,16.99,,,46053,InStock,Budget (<$20)
7,81057,AMERICAN RED,PETER VELLA MOSCATO SANGRIA - 5L,5L,84,18.99,,,46053,InStock,Budget (<$20)
8,247987,SPARKLING,CASTELLO DEL POGGIO PROSECCO - 750ML,750ML,0,12.99,,,46053,OutofStock,Budget (<$20)
9,89071,BLENDED WHISKEY,FIREBALL WINDOW BOX CINNAMON WHISKY 4/12PK - 100ML (12-Pack),12pk,0,21.99,,,46053,OutofStock,Mid-Range ($20-$50)
10,48624,AMERICAN WHITE,LA CREMA P/GRIS - 750ML,750ML,228,19.99,,,46053,InStock,Budget (<$20)
11,247291,SESSION RTD,BETTY BOOZE SPARK TEQUILA VARIETY PK 4/6PK - 355ML CN (6-Pack),6pk,0,19.99,,,46053,OutofStock,Budget (<$20)
12,30090,IMPORTED GIN,BOWMAN'S GIN - 1.75L (1 Bottle),1.75L,18,13.99,10.99,46053,46053,InStock,Budget (<$20)
13,108995,AMERICAN WHITE,JUSTIN CHARDONNAY CENTRAL COAST - 750ML,750ML,0,19.99,,,46053,OutofStock,Budget (<$20)
14,239580,WINE-BASED COOLERS,BUZZBALLZ CHILLERS CRAN BLASTER 24/CS - 187ML,187ML,0,3.99,,,46053,OutofStock,Budget (<$20)
15,20116,MEAD (WINE),CLEAR SKIES GUAVA MAMA 6/4 12OZ CANS - 12.0Z (4-Pack),4pk,0,16.99,,,46053,OutofStock,Budget (<$20)
16,171080,ITALIAN WHITE WINE,VILLARINI GRILLO 750ML,750ML,0,17.99,,,46053,OutofStock,Budget (<$20)
17,171700,SESSION RTD,SEACRETS PEACH VODKA & SODA RTD 6/4PK 12OZ CAN - 12.0Z (4-Pack),4pk,0,17.99,,,46053,OutofStock,Budget (<$20)
18,54150,STRAIGHT BOURBON WHISKEY,YELLOWSTONE BOURBON - 4/3PK BTL GIFT PACK - 375ML (3-Pack),3pk,0,49.99,,,46053,OutofStock,Mid-Range ($20-$50)
19,289610,TEQUILA,LUNAZUL TEQUILA - BLANCO - 1L,1L,0,26.99,,,46053,OutofStock,Mid-Range ($20-$50)
20,54101,SOUR MASH WHISKEY,JACK DANIELS BLACKBERRY WHISKEY  - 750ML,750ML,1644,25.99,,,46053,InStock,Mid-Range ($20-$50)
21,166872,AMERICAN RED,BELLE GLOS PINOT NOIR DAIRYMAN VINEYARD 750ML,750ML,0,54.99,,,46053,OutofStock,Premium ($50-$100)
22,84906,AMERICAN RED,BAREFOOT CEL RED MOSCATO - 187ML,187ML,1392,1.99,,,46053,InStock,Budget (<$20)
23,91440,TEQUILA,MILAGRO SILVER TEQUILA 375ML,375ML,0,14.99,,,46053,OutofStock,Budget (<$20)
24,40207,DOMESTIC BRANDY,E&J BRANDY VSOP - 1.75L,1.75L,90,27.99,,,46053,InStock,Mid-Range ($20-$50)
25,312776,ITALIAN WHITE WINE,ZONIN P/GRIG - 750ML,750ML,0,8.99,,,46053,OutofStock,Budget (<$20)
26,240820,CHILE,MIGUEL TORRES CORDILLERA DE LOS ANDES CARMN RESA ESP - 750ML,750ML,0,25.99,,,46053,OutofStock,Mid-Range ($20-$50)
27,83627,AMERICAN WHITE,BOTA BOX S/BLANC - 3L,3L,633,21.99,,,46053,InStock,Mid-Range ($20-$50)
28,41416,IMPORTED BRANDY,ST REMY BRANDY VSOP - 1.75L,1.75L,186,29.99,,,46053,InStock,Mid-Range ($20-$50)
29,43070,AMERICAN RED,FIRESTEED W/V P/NOIR - 750ML,750ML,0,24.99,,,46053,OutofStock,Mid-Range ($20-$50)
30,241252,NON-ALCOHOLIC WINE,ANGOSTURA ORANGE BITTERS 12/CS - 4OZ - 4.0Z,4.0Z,156,17.99,,,46053,InStock,Budget (<$20)
31,42597,STORE SUPPLIES,WHISTLEPIG MAPLE SYRUP - 375ML,375ML,0,19.99,,,46053,OutofStock,Budget (<$20)
32,171748,LIQ BASED RTD,COPPER CAN VARIETY PACK #2 3/8PK 12OZ CAN - 12.0Z (8-Pack),8pk,0,27.99,,,46053,OutofStock,Mid-Range ($20-$50)
33,73121,ITALIAN RED WINE,CENTINE TUSCANY RED - 750ML,750ML,0,15.99,,,46053,OutofStock,Budget (<$20)
34,88943,AMERICAN WHITE,WENTE VYDS RIVA RANCH CHARD - 750ML,750ML,696,19.99,,,46053,InStock,Budget (<$20)
35,54324,STORE SUPPLIES,BARSMITH DEHYDRATED LIMES - 1.3OZ - 1.3Z,1.3Z,0,9.99,,,46053,OutofStock,Budget (<$20)
36,79813,DOMESTIC VODKA FLAVORS,SMIRNOFF VODKA - KISS CARAMEL - 750ML,750ML,36,13.99,,,46053,InStock,Budget (<$20)
37,247768,WHITE BURGUNDY WINE,JOSEPH DROUHIN VAUDON CHABLIS - 750ML,750ML,0,39.99,,,46053,OutofStock,Mid-Range ($20-$50)
38,244012,LIQ BASED RTD,POST MERIDIEM MAI TAI - 24/100ML,100ML,528,4.99,,,46053,InStock,Budget (<$20)
39,88818,LIQ BASED RTD,BUZZBALLZ BIGGIES WITCHES BREW - 1.75L,1.75L,0,16.99,,,46053,OutofStock,Budget (<$20)
40,71161,ITALIAN RED WINE,RIUNITE LAMBRUSCO - 3L,3L,100,20.99,,,46053,InStock,Mid-Range ($20-$50)
41,145837,FRANCE-OTHER,CH D'ESCLANS WHISPERING ANGEL 375ML,375ML,0,15.99,,,46053,OutofStock,Budget (<$20)
42,246243,TEQUILA,EL TORO TEQUILA GOLD - 1L,1L,0,13.99,,,46053,OutofStock,Budget (<$20)
43,380510,FRENCH WHITE WINE,CH DE CREZANCY SANCERRE BLANC - 750ML,750ML,0,34.99,,,46053,OutofStock,Mid-Range ($20-$50)
44,246322,NEW ZEALAND,JOEL GOTT NEW ZEALAND SAUVIGNON BLANC 750ML,750ML,516,16.99,,,46053,InStock,Budget (<$20)
45,85782,AMERICAN RED,LA CREMA SONOMA COAST P/NOIR - 750ML,750ML,1440,24.99,,,46053,InStock,Mid-Range ($20-$50)
46,125261,SPANISH/PORTUGUESE,MARQUES DE CACERAS RIOJA ROSE - 750ML,750ML,0,13.99,,,46053,OutofStock,Budget (<$20)
47,38563,IMPORTED RUM,BACARDI RUM - SELECT - 750ML,750ML,444,13.99,,,46053,InStock,Budget (<$20)
