RecordID,Code,Category,Description,Size,TotalInventory,Price,SalePrice,SaleEndDate,SnapshotDate,Availability,PricingTier
0,31275,COGNAC,REMY MARTIN VSOP FLASK (SC) - 375ML,375ML,120,29.99,,,46047,InStock,Mid-Range ($20-$50)
1,53228,AMERICAN WHITE,SUTTER HOME P/GRIG - 1.5L (1 Bottle),1.5L,1470,14.99,12.99,46053,46047,InStock,Budget (<$20)
2,80616,AMERICAN WHITE,FREI BROTHERS CHARD - 750ML,750ML,192,18.99,,,46047,InStock,Budget (<$20)
3,93211,DOMESTIC CAN BEER,SIERRA NEVADA CELEBRATION 4/6 CAN - 12.0Z (6-Pack),6pk,0,10.99,,,46047,OutofStock,Budget (<$20)
4,345253,ARGENTINA,CATENA LUNLUNTA MALB - 750ML,750ML,0,27.99,,,46047,OutofStock,Mid-Range ($20-$50)
5,3085,DOMESTIC BOTTLE BEER,YUENGLING LAGER 2/12 NR - 12.0Z (12-Pack),12pk,21144,13.99,,,46047,InStock,Budget (<$20)
6,37621,AMERICAN RED,SEVEN DEADLY ZINS ZIN - 750ML,750ML,84,18.99,,,46047,InStock,Budget (<$20)
7,41106,COGNAC,COURVOISIER COGNAC VS - 1.75L,1.75L,216,73.99,,,46047,InStock,Premium ($50-$100)
8,247293,SESSION RTD,BETTY BOOZE SPARK BOURBON W/ APPLE GINGER SOUR CHERRY 6/4PK - 355ML CN (4-Pack),4pk,0,12.99,,,46047,OutofStock,Budget (<$20)
9,169796,DOMESTIC VODKA FLAVORS,WHIPSHOTS LIME INFUSED WHIPPED CREAM VODKA 200ML,200ML,0,13.99,,,46047,OutofStock,Budget (<$20)
10,189715,SPARKLING,BARON HERZOG CAL CHAMP - 750ML,750ML,0,12.99,,,46047,OutofStock,Budget (<$20)
11,91436,TEQUILA,MILAGRO ANEJO TEQUILA 375ML,375ML,0,21.99,,,46047,OutofStock,Mid-Range ($20-$50)
12,38733,TEQUILA,MONTEZUMA TEQUILA - WHITE - 1.75L,1.75L,714,24.99,,,46047,InStock,Mid-Range ($20-$50)
13,247987,SPARKLING,CASTELLO DEL POGGIO PROSECCO - 750ML,750ML,0,12.99,,,46047,OutofStock,Budget (<$20)
14,89071,BLENDED WHISKEY,FIREBALL WINDOW BOX CINNAMON WHISKY 4/12PK - 100ML (12-Pack),12pk,0,21.99,,,46047,OutofStock,Mid-Range ($20-$50)
15,170871,AMERICAN RED,UNDERWOOD P/NOIR CAN 355ML,355ML,84,7.99,,,46047,InStock,Budget (<$20)
16,38237,TEQUILA,JOSE CUERVO GOLD TEQUILA- SQUARE - 375ML,375ML,1368,12.99,,,46047,InStock,Budget (<$20)
17,247291,SESSION RTD,BETTY BOOZE SPARK TEQUILA VARIETY PK 4/6PK - 355ML CN (6-Pack),6pk,0,19.99,,,46047,OutofStock,Budget (<$20)
18,86975,AMERICAN RED,J LOHR LOS OSOS MER - 750ML,750ML,684,16.99,,,46047,InStock,Budget (<$20)
19,108995,AMERICAN WHITE,JUSTIN CHARDONNAY CENTRAL COAST - 750ML,750ML,0,19.99,,,46047,OutofStock,Budget (<$20)
20,20116,MEAD (WINE),CLEAR SKIES GUAVA MAMA 6/4 12OZ CANS - 12.0Z (4-Pack),4pk,0,16.99,,,46047,OutofStock,Budget (<$20)
21,171080,ITALIAN WHITE WINE,VILLARINI GRILLO 750ML,750ML,0,17.99,,,46047,OutofStock,Budget (<$20)
22,171700,SESSION RTD,SEACRETS PEACH VODKA & SODA RTD 6/4PK 12OZ CAN - 12.0Z (4-Pack),4pk,0,17.99,,,46047,OutofStock,Budget (<$20)
23,54150,STRAIGHT BOURBON WHISKEY,YELLOWSTONE BOURBON - 4/3PK BTL GIFT PACK - 375ML (3-Pack),3pk,0,49.99,,,46047,OutofStock,Mid-Range ($20-$50)
24,289610,TEQUILA,LUNAZUL TEQUILA - BLANCO - 1L,1L,0,26.99,,,46047,OutofStock,Mid-Range ($20-$50)
25,54101,SOUR MASH WHISKEY,JACK DANIELS BLACKBERRY WHISKEY  - 750ML,750ML,1644,25.99,,,46047,InStock,Mid-Range ($20-$50)
26,166872,AMERICAN RED,BELLE GLOS PINOT NOIR DAIRYMAN VINEYARD 750ML,750ML,0,54.99,,,46047,OutofStock,Premium ($50-$100)
27,91440,TEQUILA,MILAGRO SILVER TEQUILA 375ML,375ML,0,14.99,,,46047,OutofStock,Budget (<$20)
28,312776,ITALIAN WHITE WINE,ZONIN P/GRIG - 750ML,750ML,0,8.99,,,46047,OutofStock,Budget (<$20)
29,240820,CHILE,MIGUEL TORRES CORDILLERA DE LOS ANDES CARMN RESA ESP - 750ML,750ML,0,25.99,,,46047,OutofStock,Mid-Range ($20-$50)
30,92412,SESSION RTD,CUTWATER CHOCOLATE ESPRESSO MARTINI 6/4 CAN - 12.0Z (4-Pack),4pk,4728,12.99,,,46047,InStock,Budget (<$20)
31,43070,AMERICAN RED,FIRESTEED W/V P/NOIR - 750ML,750ML,0,24.99,,,46047,OutofStock,Mid-Range ($20-$50)
32,42597,STORE SUPPLIES,WHISTLEPIG MAPLE SYRUP - 375ML,375ML,0,19.99,,,46047,OutofStock,Budget (<$20)
33,171748,LIQ BASED RTD,COPPER CAN VARIETY PACK #2 3/8PK 12OZ CAN - 12.0Z (8-Pack),8pk,0,27.99,,,46047,OutofStock,Mid-Range ($20-$50)
34,73121,ITALIAN RED WINE,CENTINE TUSCANY RED - 750ML,750ML,0,15.99,,,46047,OutofStock,Budget (<$20)
35,41916,NON-ALCOHOLIC MIXERS,FEVER TREE GINGER BEER 6/4PK - 200ML (4-Pack),4pk,5664,7.99,,,46047,InStock,Budget (<$20)
36,54324,STORE SUPPLIES,BARSMITH DEHYDRATED LIMES - 1.3OZ - 1.3Z,1.3Z,0,9.99,,,46047,OutofStock,Budget (<$20)
37,70133,IMPORTED GIN,NEW AMSTERDAM STRATUSPHERE GIN - 1.75L (1 Bottle),1.75L,102,25.99,22.99,46053,46047,InStock,Mid-Range ($20-$50)
