RecordID,Code,Category,Description,Size,TotalInventory,Price,SalePrice,SaleEndDate,SnapshotDate,Availability,PricingTier
0,23307,DOMESTIC BOTTLE BEER,MICHELOB ULTRA 24/12 PREPRINT LSE-NR - 12.0Z,12.0Z,457,38.99,,,46052,InStock,Mid-Range ($20-$50)
1,71242,ITALIAN RED WINE,RIUNITE LAMBRUSCO - 1.5L,1.5L,252,13.99,,,46052,InStock,Budget (<$20)
2,351706,AMERICAN RED,BONANZA CABERNET SAUVIGNON - 750ML,750ML,240,18.99,,,46052,InStock,Budget (<$20)
3,93211,DOMESTIC CAN BEER,SIERRA NEVADA CELEBRATION 4/6 CAN - 12.0Z (6-Pack),6pk,0,10.99,,,46052,OutofStock,Budget (<$20)
4,345253,ARGENTINA,CATENA LUNLUNTA MALB - 750ML,750ML,0,27.99,,,46052,OutofStock,Mid-Range ($20-$50)
5,302971,AMERICAN WHITE,WM HILL NC CHARD - 750ML,750ML,84,12.99,,,46052,InStock,Budget (<$20)
6,171641,AMERICAN RED,CAPRICCIO BUBBLY SANGRIA RED - 750ML,750ML,84,11.99,,,46052,InStock,Budget (<$20)
7,247293,SESSION RTD,BETTY BOOZE SPARK BOURBON W/ APPLE GINGER SOUR CHERRY 6/4PK - 355ML CN (4-Pack),4pk,0,12.99,,,46052,OutofStock,Budget (<$20)
8,169796,DOMESTIC VODKA FLAVORS,WHIPSHOTS LIME INFUSED WHIPPED CREAM VODKA 200ML,200ML,0,13.99,,,46052,OutofStock,Budget (<$20)
9,189715,SPARKLING,BARON HERZOG CAL CHAMP - 750ML,750ML,0,12.99,,,46052,OutofStock,Budget (<$20)
10,81057,AMERICAN RED,PETER VELLA MOSCATO SANGRIA - 5L,5L,84,18.99,,,46052,InStock,Budget (<$20)
11,247987,SPARKLING,CASTELLO DEL POGGIO PROSECCO - 750ML,750ML,0,12.99,,,46052,OutofStock,Budget (<$20)
12,89071,BLENDED WHISKEY,FIREBALL WINDOW BOX CINNAMON WHISKY 4/12PK - 100ML (12-Pack),12pk,0,21.99,,,46052,OutofStock,Mid-Range ($20-$50)
13,48624,AMERICAN WHITE,LA CREMA P/GRIS - 750ML,750ML,228,19.99,,,46052,InStock,Budget (<$20)
14,84594,AMERICAN RED,BLACK BOX PINOT NOIR - 3L,3L,846,21.99,,,46052,InStock,Mid-Range ($20-$50)
15,239580,WINE-BASED COOLERS,BUZZBALLZ CHILLERS CRAN BLASTER 24/CS - 187ML,187ML,24,3.99,,,46052,InStock,Budget (<$20)
16,247291,SESSION RTD,BETTY BOOZE SPARK TEQUILA VARIETY PK 4/6PK - 355ML CN (6-Pack),6pk,0,19.99,,,46052,OutofStock,Budget (<$20)
17,108995,AMERICAN WHITE,JUSTIN CHARDONNAY CENTRAL COAST - 750ML,750ML,0,19.99,,,46052,OutofStock,Budget (<$20)
18,20116,MEAD (WINE),CLEAR SKIES GUAVA MAMA 6/4 12OZ CANS - 12.0Z (4-Pack),4pk,0,16.99,,,46052,OutofStock,Budget (<$20)
19,171080,ITALIAN WHITE WINE,VILLARINI GRILLO 750ML,750ML,0,17.99,,,46052,OutofStock,Budget (<$20)
20,171700,SESSION RTD,SEACRETS PEACH VODKA & SODA RTD 6/4PK 12OZ CAN - 12.0Z (4-Pack),4pk,0,17.99,,,46052,OutofStock,Budget (<$20)
21,54150,STRAIGHT BOURBON WHISKEY,YELLOWSTONE BOURBON - 4/3PK BTL GIFT PACK - 375ML (3-Pack),3pk,0,49.99,,,46052,OutofStock,Mid-Range ($20-$50)
22,289610,TEQUILA,LUNAZUL TEQUILA - BLANCO - 1L,1L,0,26.99,,,46052,OutofStock,Mid-Range ($20-$50)
23,54101,SOUR MASH WHISKEY,JACK DANIELS BLACKBERRY WHISKEY  - 750ML,750ML,1644,25.99,,,46052,InStock,Mid-Range ($20-$50)
24,166872,AMERICAN RED,BELLE GLOS PINOT NOIR DAIRYMAN VINEYARD 750ML,750ML,0,54.99,,,46052,OutofStock,Premium ($50-$100)
25,91440,TEQUILA,MILAGRO SILVER TEQUILA 375ML,375ML,0,14.99,,,46052,OutofStock,Budget (<$20)
26,40207,DOMESTIC BRANDY,E&J BRANDY VSOP - 1.75L,1.75L,90,27.99,,,46052,InStock,Mid-Range ($20-$50)
27,312776,ITALIAN WHITE WINE,ZONIN P/GRIG - 750ML,750ML,0,8.99,,,46052,OutofStock,Budget (<$20)
28,240820,CHILE,MIGUEL TORRES CORDILLERA DE LOS ANDES CARMN RESA ESP - 750ML,750ML,0,25.99,,,46052,OutofStock,Mid-Range ($20-$50)
29,43070,AMERICAN RED,FIRESTEED W/V P/NOIR - 750ML,750ML,0,24.99,,,46052,OutofStock,Mid-Range ($20-$50)
30,42597,STORE SUPPLIES,WHISTLEPIG MAPLE SYRUP - 375ML,375ML,0,19.99,,,46052,OutofStock,Budget (<$20)
31,171748,LIQ BASED RTD,COPPER CAN VARIETY PACK #2 3/8PK 12OZ CAN - 12.0Z (8-Pack),8pk,0,27.99,,,46052,OutofStock,Mid-Range ($20-$50)
32,73121,ITALIAN RED WINE,CENTINE TUSCANY RED - 750ML,750ML,0,15.99,,,46052,OutofStock,Budget (<$20)
33,54324,STORE SUPPLIES,BARSMITH DEHYDRATED LIMES - 1.3OZ - 1.3Z,1.3Z,0,9.99,,,46052,OutofStock,Budget (<$20)
34,247768,WHITE BURGUNDY WINE,JOSEPH DROUHIN VAUDON CHABLIS - 750ML,750ML,0,39.99,,,46052,OutofStock,Mid-Range ($20-$50)
35,79405,SPARKLING,FREIXENET CORDON NEGRO EX DRY - 750ML,750ML,852,16.99,,,46052,InStock,Budget (<$20)
36,244012,LIQ BASED RTD,POST MERIDIEM MAI TAI - 24/100ML,100ML,528,4.99,,,46052,InStock,Budget (<$20)
37,88818,LIQ BASED RTD,BUZZBALLZ BIGGIES WITCHES BREW - 1.75L,1.75L,0,16.99,,,46052,OutofStock,Budget (<$20)
38,71161,ITALIAN RED WINE,RIUNITE LAMBRUSCO - 3L,3L,100,20.99,,,46052,InStock,Mid-Range ($20-$50)
39,145837,FRANCE-OTHER,CH D'ESCLANS WHISPERING ANGEL 375ML,375ML,0,15.99,,,46052,OutofStock,Budget (<$20)
40,42894,TEQUILA,HORNITOS PLATA 750ML (1 Bottle),750ML,0,25.99,22.99,46053,46052,OutofStock,Mid-Range ($20-$50)
41,246243,TEQUILA,EL TORO TEQUILA GOLD - 1L,1L,0,13.99,,,46052,OutofStock,Budget (<$20)
42,380510,FRENCH WHITE WINE,CH DE CREZANCY SANCERRE BLANC - 750ML,750ML,0,34.99,,,46052,OutofStock,Mid-Range ($20-$50)
43,246322,NEW ZEALAND,JOEL GOTT NEW ZEALAND SAUVIGNON BLANC 750ML,750ML,516,16.99,,,46052,InStock,Budget (<$20)
44,85782,AMERICAN RED,LA CREMA SONOMA COAST P/NOIR - 750ML,750ML,1440,24.99,,,46052,InStock,Mid-Range ($20-$50)
45,125261,SPANISH/PORTUGUESE,MARQUES DE CACERAS RIOJA ROSE - 750ML,750ML,0,13.99,,,46052,OutofStock,Budget (<$20)
46,55050,PRE-MIX COCKTAILS,CHI-CHI'S MARGARITA - 1.75L,1.75L,366,9.99,,,46052,InStock,Budget (<$20)
47,38563,IMPORTED RUM,BACARDI RUM - SELECT - 750ML,750ML,444,13.99,,,46052,InStock,Budget (<$20)
48,241696,AMERICAN RED,THE PRISONER CAB - 750ML,750ML,84,52.99,,,46052,InStock,Premium ($50-$100)
49,39713,IMPORTED CORDIALS,BRADY'S IRISH CREAM - 750ML,750ML,624,10.99,,,46052,InStock,Budget (<$20)
50,83054,AMERICAN TABLE WINE,RICHARDS WILD IRISH ROSE - 750ML,750ML,624,5.99,,,46052,InStock,Budget (<$20)
51,247447,RED BORDEAUX WINE,CH LAGRANGE 19 ST-JULIEN GR CRU CLASSE - 750ML,750ML,0,97.99,,,46052,OutofStock,Premium ($50-$100)
52,234798,AMERICAN RED,LA JOTA VYD HOWELL MTN CAB/FR - 750ML,750ML,0,193.99,,,46052,OutofStock,Super-Premium ($100-$500)
53,380336,AMERICAN RED,HUNDRED ACRE FORTUNATE SON THE DIPLOMAT 6/750ML,750ML,0,221.99,,,46052,OutofStock,Super-Premium ($100-$500)
54,32123,IMPORTED GIN,TANQUERAY GIN - 1L,1L,876,36.99,,,46052,InStock,Mid-Range ($20-$50)
55,82618,CHAMPAGNE,VEUVE CLICQUOT NV ROSE- GB - 750ML,750ML,204,83.99,,,46052,InStock,Premium ($50-$100)
56,92452,DOMESTIC BOTTLE BEER,SAM ADAMS COLD SNAP 4/6 NR - 12.0Z (6-Pack),6pk,7728,10.99,,,46052,InStock,Budget (<$20)
57,84906,AMERICAN RED,BAREFOOT CEL RED MOSCATO - 187ML,187ML,1416,1.99,,,46052,InStock,Budget (<$20)
58,26646,SOUR MASH WHISKEY,JACK DANIELS BLACK - 50ML,50ML,1680,2.29,,,46052,InStock,Budget (<$20)
59,71899,IMPORTED RUM,CAPTAIN MORGAN WHITE RUM - 750ML,750ML,144,15.99,,,46052,InStock,Budget (<$20)
60,29893,DOMESTIC BOTTLE BEER,EVOLUTION VARIETY 2/12 NR - 12.0Z (12-Pack),12pk,0,19.19,,,46052,OutofStock,Budget (<$20)
61,240593,AMERICAN TABLE WINE,MENAGE A TROIS SWEET COLLECTION DOLCE RED - 750ML,750ML,696,13.99,,,46052,InStock,Budget (<$20)
62,88516,SPARKLING,CHANDON GARDEN SPRITZER - 750ML,750ML,192,27.99,,,46052,InStock,Mid-Range ($20-$50)
63,90908,TEQUILA,GRAN CORAMINO REPOSADO TEQUILA 375ML,375ML,0,22.99,,,46052,OutofStock,Mid-Range ($20-$50)
